RowNum,JobCode,JobName,MaxJobHourPerDay,BreakHour,TravelHour,ProjectType,DepartmentId
1,SRU-002511-05,AC018 - DREC - MEP SVCS AL YAS,12,1,0,Camp,2
2,SRU-037450-01,AC3266 - DUBAI INVESTMENTS PAR,12,1,0,Camp,2
3,SRU-047880,AC2121 - AMC-MEP-SRVC-ETIHAD-M,12,1,0,Camp,2
4,SRU-002517-05,SRU-002517-05  AC020 - DREC -,12,1,0,Camp,2
5,SRU-002970-06,AC1579 - CULEX HOSP.- AMC LITT,12,1,0,Camp,2
6,SRU-048538,MS. EMIRATES NBD BANK (PJSC),12,1,0,Camp,2
7,SRU-027715-02,AC3150 - MOHAMMED BIN RASHID H,12,1,0,Camp,2
8,SRU-048001,AC2453-DEPT-OF-FINANCE-MEP-SRV,12,1,0,Camp,2
9,SRU-042703-01,AC2955 - THE BAY GATE LLC MEP,12,1,0,Camp,2
10,SRU-048183,AC2456-EMIRATES TWRS-SPLY OF T,12,1,0,Camp,2
11,SRU-047941,AC3089-MEP SRVC-AYEDH-TWR,12,1,0,Camp,2
12,SRU-002569-05,AC266 - D.R.E.C.- OFF. BLDG CO,12,1,0,Camp,2
13,SRU-048445,AC2524- DAEP- MEPSubcontracted,12,1,0,Camp,2
14,SRU-049862,MS.AL HABTOOR POLO RESORT LLC,12,1,0,Camp,2
15,SRU-002513-05,AC041 - 118 VILLAS (DUBAI REAL,12,1,0,Camp,2
16,SRU-047942,AC3135-MEP SRVC- EBP 2  4,12,1,0,Camp,2
17,SRU-021553-02,AC3080 - Golden Mile 12 - Nak,12,1,0,Camp,2
18,SRU-048614,UNION PROPERTIES PJSC,12,1,0,Camp,2
19,SRU-049266,QUOT-00053329 - Quotation for Supply of Civil Technician – 1,12,1,0,Camp,2
20,SRU-049721,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
21,SRU-049802,DUBAI CULTURE  ARTS AUTHORITY,12,1,0,Camp,2
22,SRU-003031-05,AC1425 - ANWAR WAJDI -MEP SVCS,12,1,0,Camp,2
23,SRU-003949-05,AC1417 - ANWAR WAJDI - MEP SVC,12,1,0,Camp,2
24,SRU-049776,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
25,SRU-049320,MS.AL HABTOOR POLO RESORT LLC,12,1,0,Camp,2
26,SRU-048865,ELECTRICAL  WATER CONNECTION-A,12,1,0,Camp,2
27,SRU-049051,EDACOM OWNERS ASSOCIATION MANA,12,1,0,Camp,2
28,SRU-049821,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
29,SRU-046835-01,AC4944- Obaid Hamad- D2 Mama S,12,1,0,Camp,2
30,SRU-049819,DUBAI CULTURE  ARTS AUTHORITY,12,1,0,Camp,2
31,SRU-049820,DUBAI CULTURE  ARTS AUTHORITY,12,1,0,Camp,2
32,SRU-002980-04,AC1397- RASMAL INV.ANL MEP SVC,12,1,0,Camp,2
33,SRU-049735,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
34,SRU-049611,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
35,SRU-049129,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
36,SRU-049209,MOTOR CITY LLC,12,1,0,Camp,2
37,SRU-049727,MS GARGASH REAL ESTATE,12,1,0,Camp,2
38,SRU-049829,MS GARGASH REAL ESTATE,12,1,0,Camp,2
39,SRU-049828,MS GARGASH REAL ESTATE,12,1,0,Camp,2
40,SRU-049710,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
41,SRU-049664,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
42,SRU-049658,MOTOR CITY LLC,12,1,0,Camp,2
43,SRU-049560,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
44,SRU-048978,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
45,SRU-048970,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
46,SRU-048964,MS EDACOM OWNERS ASSOCIATION M,12,1,0,Camp,2
47,SRU-049047,MOTOR CITY LLC,12,1,0,Camp,2
48,SRU-002525-03,AC1674-DELTAPROPERTIES-MEPSVCB,12,1,0,Camp,2
49,SRU-049773,MS GARGASH ENTERPRISES LLC,12,1,0,Camp,2
50,SRU-049778,MS GARGASH ENTERPRISES LLC,12,1,0,Camp,2
51,SRU-050108,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
52,SRU-050272,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
53,SRU-049853,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
54,SRU-049589,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
55,SRU-002567-05,DREC - MEP MAINT. ZOMMR BUILDI,12,1,0,Camp,2
56,SRU-049923,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
57,SRU-049921,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
58,SRU-049924,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
59,SRU-050380,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
60,SRU-050096,MS DUBAI REAL ESTATE CENTRE,12,1,0,Camp,2
